,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
50845,安徽省,Anhui,340000,芜湖,Wuhu,340200.0,1,0,0,2020-01-25 11:01:25.954,2020-01-25,,,
50844,安徽省,Anhui,340000,蚌埠,Bengbu,340300.0,1,0,0,2020-01-25 11:01:25.954,2020-01-25,0.0,0.0,0.0
50840,安徽省,Anhui,340000,铜陵,Tongling,340700.0,3,0,0,2020-01-25 11:01:25.954,2020-01-25,,,
50836,安徽省,Anhui,340000,阜阳,Fuyang,341200.0,7,0,0,2020-01-25 11:01:25.954,2020-01-25,5.0,0.0,0.0
50839,安徽省,Anhui,340000,马鞍山,Ma'anshan,340500.0,4,0,0,2020-01-25 11:01:25.954,2020-01-25,,,
50435,山东省,Shandong,370000,临沂,Linyi,371300.0,3,0,0,2020-01-25 15:15:01.322,2020-01-25,1.0,0.0,0.0
50434,山东省,Shandong,370000,威海,Weihai,371000.0,3,0,0,2020-01-25 15:15:01.322,2020-01-25,1.0,0.0,0.0
50441,山东省,Shandong,370000,德州,Dezhou,371400.0,1,0,0,2020-01-25 15:15:01.322,2020-01-25,,,
50436,山东省,Shandong,370000,日照,Rizhao,371100.0,3,0,0,2020-01-25 15:15:01.322,2020-01-25,2.0,0.0,0.0
50437,山东省,Shandong,370000,济南,Jinan,370100.0,3,0,0,2020-01-25 15:15:01.322,2020-01-25,1.0,0.0,0.0
50439,山东省,Shandong,370000,济宁,Jining,370800.0,2,0,0,2020-01-25 15:15:01.322,2020-01-25,1.0,0.0,0.0
50443,山东省,Shandong,370000,滨州,Binzhou,371600.0,1,0,0,2020-01-25 15:15:01.322,2020-01-25,,,
50440,山东省,Shandong,370000,潍坊,Weifang,370700.0,1,0,0,2020-01-25 15:15:01.322,2020-01-25,0.0,0.0,0.0
50438,山东省,Shandong,370000,烟台,Yantai,370600.0,2,0,0,2020-01-25 15:15:01.322,2020-01-25,0.0,0.0,0.0
50442,山东省,Shandong,370000,聊城,Liaocheng,371500.0,1,0,0,2020-01-25 15:15:01.322,2020-01-25,,,
50444,山东省,Shandong,370000,菏泽,Heze,371700.0,1,0,0,2020-01-25 15:15:01.322,2020-01-25,,,
50433,山东省,Shandong,370000,青岛,Qingdao,370200.0,6,0,0,2020-01-25 15:15:01.322,2020-01-25,2.0,0.0,0.0
